radar_id,radar,wfo,lat,lon,elevation,radar_type,state,full_name,asos_one,asos_two
KHDX,khdx,kepz,33.07701,-106.1201,1301,1,NM,Holloman AFB,khmn,kalm
KLRX,klrx,klkn,40.73973,-116.80283,2101,1,NV,Elko,kbam,keko
KESX,kesx,kvef,35.7012,-114.89212,1508,1,NV,Las Vegas,kbvu,khnd
KRGX,krgx,krev,39.75412,-119.46219,2559,1,NV,Reno,krts,krno
KENX,kenx,kaly,42.58654,-74.0639,589,1,NY,Albany,kalb,ksch
KBGM,kbgm,kbgm,42.19966,-75.9848,519,1,NY,Binghamton,kbgm,kith
KBUF,kbuf,kbuf,42.94875,-78.73671,240,1,NY,Buffalo,kbuf,kiag
KTYX,ktyx,kbtv,43.75564,-75.67946,597,1,NY,Montague,kgtb,kart
KOKX,kokx,kokx,40.86554,-72.86387,60,1,NY,Upton,khwv,kfok
KCLE,kcle,kcle,41.41318,-81.85951,262,1,OH,Cleveland,kcle,kbkl
KILN,kiln,kiln,39.42024,-83.82189,356,1,OH,Wilmington,kiln,ki23
KFDR,kfdr,koun,34.36218,-98.97682,399,1,OK,Frederick,kfdr,kf05
KTLX,ktlx,koun,35.33335,-97.27776,389,1,OK,Oklahoma City,ktik,koun
KINX,kinx,ktsa,36.17509,-95.56416,228,1,OK,Tulsa,kgcm,ktul
KVNX,kvnx,koun,36.74059,-98.12763,383,1,OK,Vance AFB,kavk,kwdg
KMAX,kmax,kmfr,42.08112,-122.71729,2302,1,OR,Medford,kmfr,ksiy
KPDT,kpdt,kpdt,45.69059,-118.85294,481,1,OR,Pendleton,kpdt,khri
KRTX,krtx,kpqr,45.71498,-122.96487,526,1,OR,Portland,kspb,khio
KDIX,kdix,kphi,39.94703,-74.41076,70,1,PA,Philadelphia,kmjx,kwri
KPBZ,kpbz,kpbz,40.5319,-80.21773,385,1,PA,Pittsburgh,kpit,kagc
KCCX,kccx,kctp,40.92318,-78.00381,757,1,PA,State College,kunv,kfig
KCLX,kclx,kchs,32.65551,-81.04227,69,1,SC,Charleston,knbc,krbw
KCAE,kcae,kcae,33.94874,-81.11825,104,1,SC,Columbia,kcae,kcub
KGSP,kgsp,kgsp,34.8833,-82.21964,325,1,SC,Greer,kgsp,kgmu
KABR,kabr,kabr,45.45578,-98.41325,421,1,SD,Aberdeen,kabr,k1d8
KUDX,kudx,kunr,44.12486,-102.82964,973,1,SD,Rapid City,krap,krca
KFSD,kfsd,kfsd,43.58772,-96.72948,455,1,SD,Sioux falls,kfsd,klyv
KMRX,kmrx,kmrx,36.16851,-83.40176,437,1,TN,Knoxville,kmor,kgkt
KNQA,knqa,kmeg,35.34475,-89.87342,132,1,TN,Memphis,knqa,k2m8
KOHX,kohx,kohx,36.24723,-86.56282,206,1,TN,Nashville,kbna,kjwn
KAMA,kama,kama,35.23352,-101.70934,1128,1,TX,Amarillo,kama,khrx
KBRO,kbro,kbro,25.916,-97.419,26,1,TX,Brownsville,kbro,krhl
KGRK,kgrk,kfwd,30.72179,-97.38298,183,1,TX,Central Texas,kgtu,kt74
KCRP,kcrp,kcrp,27.784,-97.51124,43,1,TX,Corpus Christi,kcrp,krbo
KFWS,kfws,kfwd,32.573,-97.303,236,1,TX,Dallas/Fort Worth,kgky,knfw
KDYX,kdyx,ksjt,32.5386,-99.25424,481,1,TX,Dyess AFB,kgzn,kabi
KEPZ,kepz,kepz,31.87313,-106.69791,1285,1,TX,El Paso,kdna,kelp
KHGX,khgx,khgx,29.47189,-95.07856,35,1,TX,Houston,klvj,khou
KDFX,kdfx,kewx,29.27308,-100.28039,364,1,TX,Laughlin AFB,kdrt,kuva
KLBB,klbb,klub,33.65413,-101.81415,1029,1,TX,Lubbock,klbb,klln
KMAF,kmaf,kmaf,31.94339,-102.18925,902,1,TX,Midland/Odessa,kmaf,kmdd
KSJT,ksjt,ksjt,31.37127,-100.4924,610,1,TX,San Angelo,ksjt,koza
KEWX,kewx,kewx,29.70395,-98.02851,233,1,TX,San Antonio,kbaz,kseq
KICX,kicx,kslc,37.591,-112.86242,3278,1,UT,Cedar City,kcdc,kbce
KMTX,kmtx,kslc,41.26276,-112.44801,2009,1,UT,Salt Lake City,kogd,kslc
KFCX,kfcx,krnk,37.02442,-80.27379,903,1,VA,Blacksburg,kbcb,kpsk
KLWX,klwx,klwx,38.97625,-77.48746,123,1,VA,Sterling,kiad,kjyo
KAKQ,kakq,kakq,36.98404,-77.00747,77,1,VA,Wakefield,kakq,kfkn
KCXX,kcxx,kbtv,44.511,-73.1665,131,1,VT,Burlington,kbtv,kpbg
KLGX,klgx,ksew,47.11693,-124.10659,111,1,WA,Langley Hill,khqm,kshn
KATX,katx,ksew,48.1946,-122.49586,195,1,WA,Seattle/Tacoma,knuw,kawo
KOTX,kotx,kotx,47.68038,-117.62688,746,1,WA,Spokane,kgeg,ksff
KGRB,kgrb,kgrb,44.49958,-88.11115,250,1,WI,Green Bay,kgrb,kcli
KARX,karx,karx,43.82278,-91.19112,413,1,WI,La Crosse,klse,kona
KMKX,kmkx,kmkx,42.96785,-88.55058,311,1,WI,Milwaukee,kryv,kues
KRLX,krlx,krlx,38.31101,-81.72287,369,1,WV,Charleston,kcrw,k6l4
KCYS,kcys,kcys,41.15193,-104.80605,1887,1,WY,Cheyenne,kcys,kfew
KRIW,kriw,kriw,43.06606,-108.4772,1716,1,WY,Riverton,kriw,ktbx
