radar_id,radar,wfo,lat,lon,elevation,radar_type,state,full_name,asos_one,asos_two
KOHX,kohx,kohx,36.24723,-86.56282,206,1,TN,Nashville,KBNA,KJWN
TMEM,tmem,kmeg,34.8958,-89.99269,147,3,TN,TDWR Memphis,KMEM,KOLV
TBNA,tbna,kohx,35.97968,-86.66166,249,3,TN,TDWR Nashville,KBNA,KMQY
KAMA,kama,kama,35.23352,-101.70934,1128,1,TX,Amarillo,KAMA,KHRX
KBRO,kbro,kbro,25.916,-97.419,26,1,TX,Brownsville,KBRO,KRHL
KGRK,kgrk,kfwd,30.72179,-97.38298,183,1,TX,Central Texas,KGTU,KT74
KCRP,kcrp,kcrp,27.784,-97.51124,43,1,TX,Corpus Christi,KCRP,KRBO
KFWS,kfws,kfwd,32.573,-97.303,236,1,TX,Dallas/Fort Worth,KGKY,KNFW
KDYX,kdyx,ksjt,32.5386,-99.25424,481,1,TX,Dyess AFB,KGZN,KABI
KEPZ,kepz,kepz,31.87313,-106.69791,1285,1,TX,El Paso,KDNA,KELP
KHGX,khgx,khgx,29.47189,-95.07856,35,1,TX,Houston,KLVJ,KHOU
KDFX,kdfx,kewx,29.27308,-100.28039,364,1,TX,Laughlin AFB,KDRT,KUVA
KLBB,klbb,klub,33.65413,-101.81415,1029,1,TX,Lubbock,KLBB,KLLN
KMAF,kmaf,kmaf,31.94339,-102.18925,902,1,TX,Midland/Odessa,KMAF,KMDD
KSJT,ksjt,ksjt,31.37127,-100.4924,610,1,TX,San Angelo,KSJT,KOZA
KEWX,kewx,kewx,29.70395,-98.02851,233,1,TX,San Antonio,KBAZ,KSEQ
TDAL,tdal,kfwd,32.92576,-96.96822,189,3,TX,TDWR Dallas Love Field,KDFW,KADS
TDFW,tdfw,kfwd,33.06481,-96.91816,178,3,TX,TDWR Dallas/Ft Worth,KADS,KDFW
THOU,thou,khgx,29.51631,-95.2416,35,3,TX,TDWR Houston Hobby,KLJV,KEFD
TIAH,tiah,khgx,30.06484,-95.56697,77,3,TX,TDWR Houston International,KDWH,KIAH
KICX,kicx,kslc,37.591,-112.86242,3278,1,UT,Cedar City,KCDC,KBCE
KMTX,kmtx,kslc,41.26276,-112.44801,2009,1,UT,Salt Lake City,KOGD,KSLC
TSLC,tslc,kslc,40.96733,-111.92974,1309,3,UT,TDWR Salt Lake City,KHIF,KSLC
KFCX,kfcx,krnk,37.02442,-80.27379,903,1,VA,Blacksburg,KBCB,KPSK
KLWX,klwx,klwx,38.97625,-77.48746,123,1,VA,Sterling,KIAD,KJYO
TIAD,tiad,klwx,39.08385,-77.52944,144,3,VA,TDWR Dulles,KJYO,KIAD
KAKQ,kakq,kakq,36.98404,-77.00747,77,1,VA,Wakefield,KAKQ,KFKN
KCXX,kcxx,kbtv,44.511,-73.1665,131,1,VT,Burlington,KBTV,KPBG
KLGX,klgx,ksew,47.11693,-124.10659,111,1,WA,Langley Hill,KHQM,KSHN
KATX,katx,ksew,48.1946,-122.49586,195,1,WA,Seattle/Tacoma,KNUW,KAWO
KOTX,kotx,kotx,47.68038,-117.62688,746,1,WA,Spokane,KGEG,KSFF
KGRB,kgrb,kgrb,44.49958,-88.11115,250,1,WI,Green Bay,KGRB,KCLI
KARX,karx,karx,43.82278,-91.19112,413,1,WI,La Crosse,KLSE,KONA
KMKX,kmkx,kmkx,42.96785,-88.55058,311,1,WI,Milwaukee,KRYV,KUES
TMKE,tmke,kmkx,42.81952,-88.04645,284,3,WI,TDWR Milwaukee,KMKE,KRAC
KRLX,krlx,krlx,38.31101,-81.72287,369,1,WV,Charleston,KCRW,K6L4
KCYS,kcys,kcys,41.15193,-104.80605,1887,1,WY,Cheyenne,KCYS,KFEW
KRIW,kriw,kriw,43.06606,-108.4772,1716,1,WY,Riverton,KRIW,KTBX
